"Rows written","Length in tokens","Paragraph text"
"353","767","Each programming language mode has its own definition of a balanced expression.  Balanced expressions typically include individual symbols, numbers, and string constants, as well as pieces of code enclosed in a matching pair of delimiters.  The following commands deal with balanced expressions (in Emacs, such expressions are referred to internally as sexps13). Move forward over a balanced expression (forward-sexp). Move backward over a balanced expression (backward-sexp). Kill balanced expression forward (kill-sexp). Transpose expressions (transpose-sexps). Put mark after following expression (mark-sexp). To move forward over a balanced expression, use C-M-f (forward-sexp).  If the first significant character after point is an opening delimiter (e.g., ‘(’, ‘[’ or ‘{’ in C), this command moves past the matching closing delimiter.  If the character begins a symbol, string, or number, the command moves over that. The command C-M-b (backward-sexp) moves backward over a balanced expression—like C-M-f, but in the reverse direction. If the expression is preceded by any prefix characters (single-quote, backquote and comma, in Lisp), the command moves back over them as well. C-M-f or C-M-b with an argument repeats that operation the specified number of times; with a negative argument means to move in the opposite direction.  In most modes, these two commands move across comments as if they were whitespace.  Note that their keys, C-M-f and C-M-b, are analogous to C-f and C-b, which move by characters (see Changing the Location of Point), and M-f and M-b, which move by words (see Words). To kill a whole balanced expression, type C-M-k (kill-sexp).  This kills the text that C-M-f would move over. C-M-t (transpose-sexps) switches the positions of the previous balanced expression and the next one.  It is analogous to the C-t command, which transposes characters (see Transposing Text). An argument to C-M-t serves as a repeat count, moving the previous expression over that many following ones.  A negative argument moves the previous balanced expression backwards across those before it.  An argument of zero, rather than doing nothing, transposes the balanced expressions ending at or after point and the mark. To operate on balanced expressions with a command which acts on the region, type C-M-SPC (mark-sexp).  This sets the mark where C-M-f would move to.  While the mark is active, each successive call to this command extends the region by shifting the mark by one expression.  Positive or negative numeric arguments move the mark forward or backward by the specified number of expressions. The alias C-M-@ is equivalent to C-M-SPC. See Commands to Mark Textual Objects, for more information about this and related commands. In languages that use infix operators, such as C, it is not possible to recognize all balanced expressions because there can be multiple possibilities at a given position.  For example, C mode does not treat ‘foo + bar’ as a single expression, even though it is one C expression; instead, it recognizes ‘foo’ as one expression and ‘bar’ as another, with the ‘+’ as punctuation between them. However, C mode recognizes ‘(foo + bar)’ as a single expression, because of the parentheses."
"354","382","The following commands move over groupings delimited by parentheses (or whatever else serves as delimiters in the language you are working with).  They ignore strings and comments, including any parentheses within them, and also ignore parentheses that are quoted with an escape character.  These commands are mainly intended for editing programs, but can be useful for editing any text containing parentheses.  They are referred to internally as “list commands” because in Lisp these groupings are lists. These commands assume that the starting point is not inside a string or a comment.  If you invoke them from inside a string or comment, the results are unreliable. Move forward over a parenthetical group (forward-list). Move backward over a parenthetical group (backward-list). Move up in parenthesis structure (backward-up-list). Move down in parenthesis structure (down-list). The list commands C-M-n (forward-list) and C-M-p (backward-list) move forward or backward over one (or n) parenthetical groupings. C-M-n and C-M-p try to stay at the same level in the parenthesis structure.  To move up one (or n) levels, use C-M-u (backward-up-list).  C-M-u moves backward up past one unmatched opening delimiter.  A positive argument serves as a repeat count; a negative argument reverses the direction of motion, so that the command moves forward and up one or more levels. To move down in the parenthesis structure, use C-M-d (down-list).  In Lisp mode, where ‘(’ is the only opening delimiter, this is nearly the same as searching for a ‘(’.  An argument specifies the number of levels to go down."
"355","450","Emacs has a number of parenthesis matching features, which make it easy to see how and whether parentheses (or other delimiters) match up. Whenever you type a self-inserting character that is a closing delimiter, Emacs briefly indicates the location of the matching opening delimiter, provided that is on the screen.  If it is not on the screen, Emacs displays some of the text near it in the echo area. Either way, you can tell which grouping you are closing off.  If the opening delimiter and closing delimiter are mismatched—such as in ‘[x)’—a warning message is displayed in the echo area. Three variables control the display of matching parentheses: Show Paren mode is a minor mode that provides a more powerful kind of automatic matching.  Whenever point is before an opening delimiter or after a closing delimiter, the delimiter, its matching delimiter, and optionally the text between them are highlighted.  To toggle Show Paren mode globally, type M-x show-paren-mode.  To toggle it only in the current buffer, type M-x show-paren-local-mode.  To customize it, type M-x customize-group RET paren-showing. The customizable options which control the operation of this mode include: Electric Pair mode, a global minor mode, provides a way to easily insert matching delimiters: parentheses, braces, brackets, etc. Whenever you insert an opening delimiter, the matching closing delimiter is automatically inserted as well, leaving point between the two.  Conversely, when you insert a closing delimiter over an existing one, no insertion takes places, and that position is simply skipped over.  If the region is active (see The Mark and the Region), insertion of a delimiter operates on the region: the characters in the region are enclosed in a pair of matching delimiters, leaving point after the delimiter you typed. These variables control additional features of Electric Pair mode: To toggle Electric Pair mode, type M-x electric-pair-mode.  To toggle the mode in a single buffer, use M-x electric-pair-local-mode."
"356","135","Because comments are such an important part of programming, Emacs provides special commands for editing and inserting comments.  It can also do spell checking on comments with Flyspell Prog mode (see Checking and Correcting Spelling). Some major modes have special rules for indenting different kinds of comments.  For example, in Lisp code, comments starting with two semicolons are indented as if they were lines of code, while those starting with three semicolons are supposed to be aligned to the left margin and are often used for sectioning purposes.  Emacs understands these conventions; for instance, typing TAB on a comment line will indent the comment to the appropriate position."
"357","1039","The following commands operate on comments: Insert or realign comment on current line; if the region is active, comment or uncomment the region instead (comment-dwim). Comment or uncomment the current line (comment-line).  If the region is active, comment or uncomment the lines in the region instead. Kill comment on current line (comment-kill). Set comment column (comment-set-column). Like RET followed by inserting and aligning a comment (comment-indent-new-line).  See Multiple Lines of Comments. Add comment delimiters to all the lines in the region. The command to create or align a comment is M-; (comment-dwim).  The word “dwim” is an acronym for “Do What I Mean”; it indicates that this command can be used for many different jobs relating to comments, depending on the situation where you use it. When a region is active (see The Mark and the Region), M-; either adds comment delimiters to the region, or removes them.  If every line in the region is already a comment, it uncomments each of those lines by removing their comment delimiters.  Otherwise, it adds comment delimiters to enclose the text in the region. If you supply a prefix argument to M-; when a region is active, that specifies the number of comment delimiters to add or delete.  A positive argument n adds n delimiters, while a negative argument -n removes n delimiters. If the region is not active, and there is no existing comment on the current line, M-; adds a new comment to the current line.  If the line is blank (i.e., empty or containing only whitespace characters), the comment is indented to the same position where TAB would indent to (see Basic Program Indentation Commands).  If the line is non-blank, the comment is placed after the last non-whitespace character on the line.  Emacs tries to fit the comment between the columns specified by the variables comment-column and comment-fill-column (see Options Controlling Comments), if possible.  Otherwise, it will choose some other suitable position, usually separated from the non-comment text by at least one space.  In each case, Emacs places point after the comment’s starting delimiter, so that you can start typing the comment text right away. You can also use M-; to align an existing comment.  If a line already contains the comment-start string, M-; realigns it to the conventional alignment and moves point after the comment’s starting delimiter.  As an exception, comments starting in column 0 are not moved.  Even when an existing comment is properly aligned, M-; is still useful for moving directly to the start of the comment text. C-x C-; (comment-line) comments or uncomments complete lines.  When a region is active (see The Mark and the Region), C-x C-; either comments or uncomments the lines in the region.  If the region is not active, this command comments or uncomments the line point is on. With a positive prefix argument n, it operates on n lines starting with the current one; with a negative argument -n, it affects n preceding lines.  After invoking this command with a negative argument, successive invocations with a positive argument will operate on preceding lines as if the argument were negated. C-u M-; (comment-dwim with a prefix argument) kills any comment on the current line, along with the whitespace before it. Since the comment is saved to the kill ring, you can reinsert it on another line by moving to the end of that line, doing C-y, and then M-; to realign the comment.  You can achieve the same effect as C-u M-; by typing M-x comment-kill (comment-dwim actually calls comment-kill as a subroutine when it is given a prefix argument). The command M-x comment-region is equivalent to calling M-; on an active region, except that it always acts on the region, even if the mark is inactive.  In C mode and related modes, this command is bound to C-c C-c.  The command M-x uncomment-region uncomments each line in the region; a numeric prefix argument specifies the number of comment delimiters to remove (negative arguments specify the number of comment delimiters to add). For C-like modes, you can configure the exact effect of M-; by setting the variables c-indent-comment-alist and c-indent-comments-syntactically-p.  For example, on a line ending in a closing brace, M-; puts the comment one space after the brace rather than at comment-column.  For full details see Comment Commands in The CC Mode Manual."
"358","267","If you are typing a comment and wish to continue it to another line, type M-j or C-M-j (comment-indent-new-line).  This breaks the current line, and inserts the necessary comment delimiters and indentation to continue the comment. For languages with closing comment delimiters (e.g., ‘*/’ in C), the exact behavior of M-j depends on the value of the variable comment-multi-line.  If the value is nil, the command closes the comment on the old line and starts a new comment on the new line.  Otherwise, it opens a new line within the current comment delimiters. When Auto Fill mode is on, going past the fill column while typing a comment also continues the comment, in the same way as an explicit invocation of M-j. To turn existing lines into comment lines, use M-; with the region active, or use M-x comment-region as described in the preceding section. You can configure C Mode such that when you type a ‘/’ at the start of a line in a multi-line block comment, this closes the comment.  Enable the comment-close-slash clean-up for this. See Clean-ups in The CC Mode Manual."
"359","684","As mentioned in Comment Commands, when the M-j command adds a comment to a line, it tries to place the comment between the columns specified by the buffer-local variables comment-column and comment-fill-column (or if that is nil, then the value of fill-column, see Explicit Fill Commands).  You can set either the local value or the default value of these buffer-local variables in the usual way (see Local Variables).  Alternatively, you can type C-x ; (comment-set-column) to set the value of comment-column in the current buffer to the column where point is currently located.  C-u C-x ; sets the comment column to match the last comment before point in the buffer, and then does a M-; to align the current line’s comment under the previous one. The comment commands recognize comments based on the regular expression that is the value of the variable comment-start-skip. Make sure this regexp does not match the null string.  It may match more than the comment starting delimiter in the strictest sense of the word; for example, in C mode the value of the variable could be ""/\\*+[ \t]*\\|//+[ \t]*"", which matches extra stars and spaces after the ‘/*’ itself, and accepts C++ style (‘//’) comments also.  (Note that ‘\\’ is needed in Lisp syntax to include a ‘\’ in the string, which is needed to deny the first star its special meaning in regexp syntax.  See Backslash in Regular Expressions.) When a comment command makes a new comment, it inserts the value of comment-start as an opening comment delimiter.  It also inserts the value of comment-end after point, as a closing comment delimiter.  For example, in Lisp mode, comment-start is ‘"";""’ and comment-end is """" (the empty string).  In C mode, comment-start is ""/* "" and comment-end is "" */"". The variable comment-padding specifies a string that the commenting commands should insert between the comment delimiter(s) and the comment text.  The default, ‘"" ""’, specifies a single space. Alternatively, the value can be a number, which specifies that number of spaces, or nil, which means no spaces at all. The variable comment-multi-line controls how M-j and Auto Fill mode continue comments over multiple lines. See Multiple Lines of Comments. The variable comment-indent-function should contain a function that will be called to compute the alignment for a newly inserted comment or for aligning an existing comment.  It is set differently by various major modes.  The function is called with no arguments, but with point at the beginning of the comment, or at the end of a line if a new comment is to be inserted.  It should return the column in which the comment ought to start.  For example, the default function bases its decision on how many comment characters begin an existing comment. Emacs also tries to align comments on adjacent lines.  To override this, the function may return a cons of two (possibly equal) integers to indicate an acceptable range of indentation."
"360","28","Emacs provides several features you can use to look up the documentation of functions, variables and commands that you plan to use in your program."
"361","205","For major modes that apply to languages which have documentation in Info, you can use C-h S (info-lookup-symbol) to view the Info documentation for a symbol used in the program.  You specify the symbol with the minibuffer; the default is the symbol appearing in the buffer at point.  For example, in C mode this looks for the symbol in the C Library Manual.  The command only works if the appropriate manual’s Info files are installed. Emacs determines where to look for documentation for the symbol—which Info files to look in, and which indices to search—based on the major mode.  You can also use M-x info-lookup-file to look for documentation for a file name. If you use C-h S in a major mode that does not support it, it asks you to specify the symbol help mode.  You should enter a command such as c-mode that would select a major mode which C-h S does support."
"362","686","On Unix, the main form of on-line documentation was the manual page or man page.  In the GNU operating system, we aim to replace man pages with better-organized manuals that you can browse with Info (see Other Help Commands).  This process is not finished, so it is still useful to read manual pages. You can read the man page for an operating system command, library function, or system call, with the M-x man command.  This prompts for a topic, with completion (see Completion), and runs the man program to format the corresponding man page.  If the system permits, it runs man asynchronously, so that you can keep on editing while the page is being formatted.  The result goes in a buffer named *Man topic*.  These buffers use a special major mode, Man mode, that facilitates scrolling and jumping to other manual pages.  For details, type C-h m while in a Man mode buffer. Each man page belongs to one of ten or more sections, each named by a digit or by a digit and a letter.  Sometimes there are man pages with the same name in different sections.  To read a man page from a specific section, type ‘topic(section)’ or ‘section topic’ when M-x man prompts for the topic.  For example, the man page for the C library function chmod is in section 2, but there is a shell command of the same name, whose man page is in section 1; to view the former, type M-x man RET chmod(2) RET. If you do not specify a section, M-x man normally displays only the first man page found.  On some systems, the man program accepts a ‘-a’ command-line option, which tells it to display all the man pages for the specified topic.  To make use of this, change the value of the variable Man-switches to ‘""-a""’.  Then, in the Man mode buffer, you can type M-n and M-p to switch between man pages in different sections.  The mode line shows how many manual pages are available. An alternative way of reading manual pages is the M-x woman command.  Unlike M-x man, it does not run any external programs to format and display the man pages; the formatting is done by Emacs, so it works on systems such as MS-Windows where the man program may be unavailable.  It prompts for a man page, and displays it in a buffer named *WoMan section topic. M-x woman computes the completion list for manpages the first time you invoke the command.  With a numeric argument, it recomputes this list; this is useful if you add or delete manual pages. If you type a name of a manual page and M-x woman finds that several manual pages by the same name exist in different sections, it pops up a window with possible candidates asking you to choose one of them. Note that M-x woman doesn’t yet support the latest features of modern man pages, so we recommend using M-x man if that is available on your system. For more information about setting up and using M-x woman, see the WoMan Info manual, which is distributed with Emacs."
"363","367","When editing Emacs Lisp code, you can use the commands C-h f (describe-function) and C-h v (describe-variable) to view the built-in documentation for the Lisp functions and variables that you want to use.  See Help by Command or Variable Name. ElDoc is a buffer-local minor mode that helps with looking up Lisp documentation.  When it is enabled, the echo area displays some useful information whenever there is a Lisp function or variable at point; for a function, it shows the argument list, and for a variable it shows the first line of the variable’s documentation string.  To toggle ElDoc mode, type M-x eldoc-mode.  There’s also a Global ElDoc mode, which is turned on by default, and affects buffers whose major mode sets the variables described below.  Use M-x global-eldoc-mode to turn it off globally. These variables can be used to configure ElDoc mode: This variable holds the function which is used to retrieve documentation for the item at point from the functions in the hook eldoc-documentation-functions.  By default, eldoc-documentation-strategy returns the first documentation string produced by the eldoc-documentation-functions hook, but it may be customized to compose those functions’ results in other ways. This abnormal hook holds documentation functions.  It acts as a collection of backends for ElDoc.  This is what modes should use to register their documentation functions with ElDoc. If non-nil (the default), display a verbose message about how to view a complete documentation (if it has been truncated in the echo area).  If nil, just mark truncated messages with ‘...’."
"364","343","Hideshow mode is a buffer-local minor mode that allows you to selectively display portions of a program, which are referred to as blocks.  Type M-x hs-minor-mode to toggle this minor mode (see Minor Modes). When you use Hideshow mode to hide a block, the block disappears from the screen, to be replaced by an ellipsis (three periods in a row).  Just what constitutes a block depends on the major mode.  In C mode and related modes, blocks are delimited by braces, while in Lisp mode they are delimited by parentheses.  Multi-line comments also count as blocks. Hideshow mode provides the following commands: Hide the current block (hs-hide-block). Show the current block (hs-show-block). Either hide or show the current block (hs-toggle-hiding). Toggle hiding for the block you click on (hs-mouse-toggle-hiding). Hide all top-level blocks (hs-hide-all). Show all blocks in the buffer (hs-show-all). Hide all blocks n levels below this block (hs-hide-level). These variables can be used to customize Hideshow mode: If non-nil, C-c @ C-M-h (hs-hide-all) hides comments too. This variable specifies the conditions under which incremental search should unhide a hidden block when matching text occurs within the block.  Its value should be either code (unhide only code blocks), comment (unhide only comments), t (unhide both code blocks and comments), or nil (unhide neither code blocks nor comments).  The default value is code."
"365","285","Completion is normally done in the minibuffer (see Completion), but you can also complete symbol names in ordinary Emacs buffers. In programming language modes, type C-M-i or M-TAB to complete the partial symbol before point.  On graphical displays, the M-TAB key is usually reserved by the window manager for switching graphical windows, so you should type C-M-i or ESC TAB instead. In most programming language modes, C-M-i (or M-TAB) invokes the command completion-at-point, which generates its completion list in a flexible way.  If Semantic mode is enabled, it tries to use the Semantic parser data for completion (see Semantic).  If Semantic mode is not enabled or fails at performing completion, it tries to complete using the selected tags table (see Tags Tables).  If in Emacs Lisp mode, it performs completion using the function, variable, or property names defined in the current Emacs session. In all other respects, in-buffer symbol completion behaves like minibuffer completion.  For instance, if Emacs cannot complete to a unique symbol, it displays a list of completion alternatives in another window.  See Completion. In Text mode and related modes, M-TAB completes words based on the spell-checker’s dictionary.  See Checking and Correcting Spelling."
"366","273","Some programming styles make use of mixed-case (or “CamelCase”) symbols like ‘unReadableSymbol’.  (In the GNU project, we recommend using underscores to separate words within an identifier, rather than using case distinctions.)  Emacs has various features to make it easier to deal with such symbols. Glasses mode is a buffer-local minor mode that makes it easier to read such symbols, by altering how they are displayed.  By default, it displays extra underscores between each lower-case letter and the following capital letter.  This does not alter the buffer text, only how it is displayed. To toggle Glasses mode, type M-x glasses-mode (see Minor Modes).  When Glasses mode is enabled, the minor mode indicator ‘o^o’ appears in the mode line.  For more information about Glasses mode, type C-h P glasses RET. Subword mode is another buffer-local minor mode.  In subword mode, Emacs’s word commands recognize upper case letters in ‘StudlyCapsIdentifiers’ as word boundaries.  When Subword mode is enabled, the minor mode indicator ‘,’ appears in the mode line. See also the similar superword-mode (see Other Features Useful for Editing Programs)."
"367","450","Semantic is a package that provides language-aware editing commands based on source code parsers.  This section provides a brief description of Semantic; for full details, see Semantic in Semantic. Most of the language-aware features in Emacs, such as Font Lock mode (see Font Lock mode), rely on rules of thumb14 that usually give good results but are never completely exact.  In contrast, the parsers used by Semantic have an exact understanding of programming language syntax.  This allows Semantic to provide search, navigation, and completion commands that are powerful and precise. To begin using Semantic, type M-x semantic-mode or click on the menu item named ‘Source Code Parsers (Semantic)’ in the ‘Tools’ menu.  This enables Semantic mode, a global minor mode. When Semantic mode is enabled, Emacs automatically attempts to parse each file you visit.  Currently, Semantic understands C, C++, HTML, Java, Javascript, Make, Python, Scheme, SRecode, and Texinfo. Within each parsed buffer, the following commands are available: Prompt for the name of a function defined in the current file, and move point there (semantic-complete-jump-local). Prompt for the name of a function defined in any file Emacs has parsed, and move point there (semantic-complete-jump). Display a list of possible completions for the symbol at point (semantic-complete-analyze-inline).  This also activates a set of special key bindings for choosing a completion: RET accepts the current completion, M-n and M-p cycle through possible completions, TAB completes as far as possible and then cycles, and C-g or any other key aborts completion. Display a list of the possible completions of the symbol at point, in another window (semantic-analyze-possible-completions). In addition to the above commands, the Semantic package provides a variety of other ways to make use of parser information.  For instance, you can use it to display a list of completions when Emacs is idle. See Semantic in Semantic, for details."
"368","587","Some Emacs commands that aren’t designed specifically for editing programs are useful for that nonetheless. The Emacs commands that operate on words, sentences and paragraphs are useful for editing code.  Most symbol names contain words (see Words), while sentences can be found in strings and comments (see Sentences).  As for paragraphs, they are defined in most programming language modes to begin and end at blank lines (see Paragraphs).  Therefore, judicious use of blank lines to make the program clearer will also provide useful chunks of text for the paragraph commands to work on.  Auto Fill mode, if enabled in a programming language major mode, indents the new lines which it creates. Superword mode is a buffer-local minor mode that causes editing and motion commands to treat symbols (e.g., ‘this_is_a_symbol’) as words. When Superword mode is enabled, the minor mode indicator ‘²’ appears in the mode line.  See also the similar subword-mode (see MixedCase Words). Electric Layout mode (M-x electric-layout-mode) is a global minor mode that automatically inserts newlines when you type certain characters; for example, ‘{’, ‘}’ and ‘;’ in Javascript mode. Apart from Hideshow mode (see Hideshow minor mode), another way to selectively display parts of a program is to use the selective display feature (see Selective Display).  Programming modes often also support Outline minor mode (see Outline Mode), which can be used with the Foldout package (see Folding Editing). Prettify Symbols mode is a buffer-local minor mode that replaces certain strings with more attractive versions for display purposes. For example, in Emacs Lisp mode, it replaces the string ‘lambda’ with the Greek lambda character ‘λ’.  In a TeX buffer, it will replace ‘\alpha’ … ‘\omega’ and other math macros with their Unicode characters.  You may wish to use this in non-programming modes as well.  You can customize the mode by adding more entries to prettify-symbols-alist.  More elaborate customization is available via customizing prettify-symbols-compose-predicate if its default value prettify-symbols-default-compose-p is not appropriate.  There is also a global version, global-prettify-symbols-mode, which enables the mode in all buffers that support it. The symbol at point can be shown in its original form.  This is controlled by the variable prettify-symbols-unprettify-at-point: if non-nil, the original form of symbol at point will be restored for as long as point is at it."
"369","65","This section gives a brief description of the special features available in C, C++, Objective-C, Java, CORBA IDL, Pike and AWK modes. (These are called “C mode and related modes”.) For more details, see the CC mode Info manual, which is distributed with Emacs."
"370","379","This section describes commands for moving point, in C mode and related modes. Move point to the beginning or end of the current function or top-level definition.  In languages with enclosing scopes (such as C++’s classes) the current function is the immediate one, possibly inside a scope.  Otherwise it is the one defined by the least enclosing braces.  (By contrast, beginning-of-defun and end-of-defun search for braces in column zero.)  See Moving by Defuns. Move point back to the containing preprocessor conditional, leaving the mark behind.  A prefix argument acts as a repeat count.  With a negative argument, move point forward to the end of the containing preprocessor conditional. ‘#elif’ is equivalent to ‘#else’ followed by ‘#if’, so the function will stop at a ‘#elif’ when going backward, but not when going forward. Move point back over a preprocessor conditional, leaving the mark behind.  A prefix argument acts as a repeat count.  With a negative argument, move forward. Move point forward across a preprocessor conditional, leaving the mark behind.  A prefix argument acts as a repeat count.  With a negative argument, move backward. Move point to the beginning of the innermost C statement (c-beginning-of-statement).  If point is already at the beginning of a statement, move to the beginning of the preceding statement.  With prefix argument n, move back n - 1 statements. In comments or in strings which span more than one line, this command moves by sentences instead of statements. Move point to the end of the innermost C statement or sentence; like M-a except that it moves in the other direction (c-end-of-statement)."
"371","367","In C mode and related modes, certain printing characters are electric—in addition to inserting themselves, they also reindent the current line, and optionally also insert newlines.  The electric characters are {, }, :, #, ;, ,, <, >, /, *, (, and ). You might find electric indentation inconvenient if you are editing chaotically indented code.  If you are new to CC Mode, you might find it disconcerting.  You can toggle electric action with the command C-c C-l; when it is enabled, ‘/cl’ appears in the mode line after the mode name (where c, if present, is ‘*’ or ‘/’, depending on whether the comment style is block or line). See Minor Modes in The CC Mode Manual, for more about mode-line indicators in CC Mode. Toggle electric action (c-toggle-electric-state).  With a positive prefix argument, this command enables electric action, with a negative one it disables it. Electric characters insert newlines only when, in addition to the electric state, the auto-newline feature is enabled (indicated by ‘/cla’ in the mode line after the mode name).  You can turn this feature on or off with the command C-c C-a: Toggle the auto-newline feature (c-toggle-auto-newline).  With a prefix argument, this command turns the auto-newline feature on if the argument is positive, and off if it is negative. Usually the CC Mode style configures the exact circumstances in which Emacs inserts auto-newlines.  You can also configure this directly.  See Custom Auto-newlines in The CC Mode Manual."
"372","240","If you want to delete an entire block of whitespace at point, you can use hungry deletion.  This deletes all the contiguous whitespace either before point or after point in a single operation. Whitespace here includes tabs and newlines, but not comments or preprocessor commands. Delete the entire block of whitespace preceding point (c-hungry-delete-backwards). Delete the entire block of whitespace after point (c-hungry-delete-forward). As an alternative to the above commands, you can enable hungry delete mode.  When this feature is enabled (indicated by ‘h’ after a ‘/’ in the mode line after the mode name), a single DEL deletes all preceding whitespace, not just one space, and a single C-d (but not plain Delete) deletes all following whitespace. Toggle the hungry-delete feature (c-toggle-hungry-state).  With a prefix argument, this command turns the hungry-delete feature on if the argument is positive, and off if it is negative. The variable c-hungry-delete-key controls whether the hungry-delete feature is enabled."
"373","780","This command inserts a line break and indents the new line in a manner appropriate to the context.  In normal code, it does the work of RET (newline), in a C preprocessor line it additionally inserts a ‘\’ at the line break, and within comments it’s like M-j (c-indent-new-comment-line). c-context-line-break isn’t bound to a key by default, but it needs a binding to be useful.  The following code will bind it to RET.  We use c-initialization-hook here to make sure the keymap is loaded before we try to change it. Put mark at the end of a function definition, and put point at the beginning (c-mark-function). Fill a paragraph, handling C and C++ comments (c-fill-paragraph). If any part of the current line is a comment or within a comment, this command fills the comment or the paragraph of it that point is in, preserving the comment indentation and comment delimiters. Run the C preprocessor on the text in the region, and show the result, which includes the expansion of all the macro calls (c-macro-expand).  The buffer text before the region is also included in preprocessing, for the sake of macros defined there, but the output from this part isn’t shown. When you are debugging C code that uses macros, sometimes it is hard to figure out precisely how the macros expand.  With this command, you don’t have to figure it out; you can see the expansions. Insert or align ‘\’ characters at the ends of the lines of the region (c-backslash-region).  This is useful after writing or editing a C macro definition. If a line already ends in ‘\’, this command adjusts the amount of whitespace before it.  Otherwise, it inserts a new ‘\’.  However, the last line in the region is treated specially; no ‘\’ is inserted on that line, and any ‘\’ there is deleted. Highlight parts of the text according to its preprocessor conditionals. This command displays another buffer named *CPP Edit*, which serves as a graphic menu for selecting how to display particular kinds of conditionals and their contents.  After changing various settings, click on ‘[A]pply these settings’ (or go to that buffer and type a) to rehighlight the C mode buffer accordingly. Display the syntactic information about the current source line (c-show-syntactic-information).  This information directs how the line is indented. CWarn minor mode highlights certain suspicious C and C++ constructions: You can enable the mode for one buffer with the command M-x cwarn-mode, or for all suitable buffers with the command M-x global-cwarn-mode or by customizing the variable global-cwarn-mode.  You must also enable Font Lock mode to make it work. Hide-ifdef minor mode hides selected code within ‘#if’ and ‘#ifdef’ preprocessor blocks.  If you change the variable hide-ifdef-shadow to t, Hide-ifdef minor mode shadows preprocessor blocks by displaying them with a less prominent face, instead of hiding them entirely.  See the documentation string of hide-ifdef-mode for more information. Find a file related in a special way to the file visited by the current buffer.  Typically this will be the header file corresponding to a C/C++ source file, or vice versa.  The variable ff-related-file-alist specifies how to compute related file names."
"374","96","Asm mode is a major mode for editing files of assembler code.  It defines these commands: tab-to-tab-stop. Insert a newline and then indent using tab-to-tab-stop. Insert a colon and then remove the indentation from before the label preceding colon.  Then do tab-to-tab-stop. Insert or align a comment. The variable asm-comment-char specifies which character starts comments in assembler syntax."
"375","318","Fortran mode is meant for editing fixed form (and also tab format) source code (normally Fortran 77).  For editing more modern free-form source code (Fortran 90, 95, 2003, 2008), use F90 mode (f90-mode).  Emacs normally uses Fortran mode for files with extension ‘.f’, ‘.F’ or ‘.for’, and F90 mode for the extensions ‘.f90’, ‘.f95’, ‘.f03’ and ‘.f08’. Customize auto-mode-alist to add more extensions.  GNU Fortran supports both free and fixed form.  This manual mainly documents Fortran mode, but the corresponding F90 mode features are mentioned when relevant. Fortran mode provides special motion commands for Fortran statements and subprograms, and indentation commands that understand Fortran conventions of nesting, line numbers and continuation statements. Fortran mode has support for Auto Fill mode that breaks long lines into proper Fortran continuation lines.  Fortran mode also supports Hideshow minor mode (see Hideshow minor mode), and Imenu (see Imenu). Special commands for comments are provided because Fortran comments are unlike those of other languages.  Built-in abbrevs optionally save typing when you insert Fortran keywords. Use M-x fortran-mode to switch to this major mode.  This command runs the hook fortran-mode-hook. See Hooks."
"376","470","In addition to the normal commands for moving by and operating on defuns (Fortran subprograms—functions and subroutines, as well as modules for F90 mode, using the commands fortran-end-of-subprogram and fortran-beginning-of-subprogram), Fortran mode provides special commands to move by statements and other program units. Move to the beginning of the next statement (fortran-next-statement/f90-next-statement). Move to the beginning of the previous statement (fortran-previous-statement/f90-previous-statement). If there is no previous statement (i.e., if called from the first statement in the buffer), move to the start of the buffer. Move point forward to the start of the next code block, or the end of the current one, whichever comes first (f90-next-block). A code block is a subroutine, if–endif statement, and so forth.  This command exists for F90 mode only, not Fortran mode. With a numeric argument, it moves forward that many blocks. Move point backward to the previous block (f90-previous-block).  This is like f90-next-block, but moves backwards. Move to the end of the current code block (fortran-end-of-block/f90-end-of-block).  With a numeric argument, move forward that number of blocks.  The mark is set before moving point.  The F90 mode version of this command checks for consistency of block types and labels (if present), but it does not check the outermost block since that may be incomplete. Move to the start of the current code block (fortran-beginning-of-block/f90-beginning-of-block). This is like fortran-end-of-block, but moves backwards. The commands fortran-beginning-of-subprogram and fortran-end-of-subprogram move to the start or end of the current subprogram, respectively.  The commands fortran-mark-do and fortran-mark-if mark the end of the current do or if block, and move point to the start."
"377","45","Special commands and features are needed for indenting fixed (or tab) form Fortran code in order to make sure various syntactic entities (line numbers, comment line indicators and continuation line flags) appear in the required columns."
"378","274","Break the current line at point and set up a continuation line (fortran-split-line). Join this line to the previous line (fortran-join-line). Indent all the lines of the subprogram that point is in (fortran-indent-subprogram). Fill a comment block or statement (using fortran-fill-paragraph or fortran-fill-statement). The key C-M-q runs fortran-indent-subprogram, a command to reindent all the lines of the Fortran subprogram (function or subroutine) containing point. The key C-M-j runs fortran-split-line, which splits a line in the appropriate fashion for Fortran.  In a non-comment line, the second half becomes a continuation line and is indented accordingly.  In a comment line, both halves become separate comment lines. M-^ or C-c C-d run the command fortran-join-line, which joins a continuation line back to the previous line, roughly as the inverse of fortran-split-line.  The point must be on a continuation line when this command is invoked. M-q in Fortran mode fills the comment block or statement that point is in.  This removes any excess statement continuations."
